# en|category|emoji|日本語|example sentence|simple English definition (optional)
# emoji starting with ~ is decoration only (never used as a picture answer)
# ---- B2 vocabulary (英検準1級相当) ----
abandon|thinking|~🚗❄️|放棄する・見捨てる|They had to abandon the car in the snow.|to leave someone or something and not come back
accelerate|thinking|~🏎️|加速する|The car accelerated on the highway.|to become faster
accommodate|thinking|~🏨|収容する・対応する|The hotel can accommodate 300 guests.|to have enough space for people; or to adjust to someone's needs
accumulate|thinking|~📚|蓄積する|Dust accumulated on the old books.|to gradually gather or increase
acknowledge|thinking|~🙇|認める|He acknowledged his mistake.|to accept or admit that something is true
acquire|thinking|~🎓|獲得する・習得する|She acquired a good knowledge of French.|to get or learn something
advocate|thinking|~📣|提唱する・擁護する|Many doctors advocate regular exercise.|to publicly support an idea or plan
allocate|thinking|~🥧|割り当てる|The city allocated money for new parks.|to give a share of something for a purpose
anticipate|thinking|~🔭|予想する|We anticipate a large crowd at the concert.|to expect something and prepare for it
appreciate|thinking|~🙏|感謝する・正しく評価する|I really appreciate your help.|to be thankful for something; or to understand its value
assess|thinking|~📝|評価する|Teachers assess students' progress every term.|to judge the quality or value of something
attribute|thinking|~🔗|〜のおかげ[せい]とする|He attributes his success to hard work.|to say that something is caused by something else
cease|thinking|~🛑|やめる・終わる|The factory ceased production last year.|to stop
clarify|thinking|~💡|明確にする|Could you clarify what you mean?|to make something easier to understand
collaborate|thinking|~🤝|協力する|Two universities collaborated on the research.|to work together with others
compensate|thinking|~💴|補償する・埋め合わせる|The company compensated the workers for their loss.|to pay or give something to make up for a loss
comply|thinking|~📜|従う|All members must comply with the rules.|to obey a rule or request
conceal|thinking|~🙈|隠す|He tried to conceal his anger.|to hide something
confront|thinking|~🥊|立ち向かう|We must confront the problem directly.|to face and deal with a difficult situation
constitute|thinking|~🧩|構成する|Women constitute half of the workforce.|to form or make up something
dedicate|thinking|~❤️|捧げる|She dedicated her life to helping the poor.|to give all your time or energy to something
