# en|category|emoji|日本語|example sentence|simple English definition (optional)
# emoji starting with ~ is decoration only (never used as a picture answer)
increase|thinking|📈|増える・増やす|The price of rice will increase this year.|to become bigger in number or amount
decrease|thinking|📉|減る・減らす|The number of students will decrease next year.|to become smaller in number or amount
technology|society|💻🤖|技術|Technology changes our lives.|machines and tools made by using science
society|society|🏙️👥|社会|We live together in society.|people living together as a group
purpose|society|🎯|目的|What is the purpose of this trip?|why you do something; your goal
effect|society|💥📈|効果・影響|This medicine has a good effect.|a change caused by something
method|society|🧭🛠️|方法|This is a new method of learning.|a way of doing something
system|society|⚙️|仕組み|Our school has a new computer system.|a set of parts that work together
government|society|🏛️|政府|The government made a new law.|the group of people who control a country
population|society|👥📈|人口|The population of this city is growing.|the number of people living in a place
# ---- added: B1 vocabulary ----
analyze|thinking|~🔬📊|分析する|Scientists analyzed the data.|to study something carefully to understand it
argue|thinking|~😠💬|言い争う・主張する|My sisters often argue about small things.|to disagree with someone angrily; or to give reasons for an opinion
attract|thinking|~🧲|引きつける|The festival attracts many visitors.|to make people want to come or look
claim|thinking|~📢|主張する|He claims that he saw a ghost.|to say that something is true
combine|thinking|~➕|組み合わせる|Combine the eggs and sugar.|to put two or more things together
conclude|thinking|~🏁|結論を下す|The report concluded that the plan was too expensive.|to decide something after thinking about the facts
confirm|thinking|~✅|確認する|Please confirm your reservation.|to show or say that something is true or certain
connect|thinking|~🔗|つなぐ|Connect the printer to the computer.|to join two things together
consume|thinking|~🍽️⚡|消費する|This machine consumes a lot of electricity.|to use energy, food, or other things
contribute|thinking|~🤲|貢献する|Everyone contributed to the project.|to give or add something to help
convince|thinking|~💬👍|納得させる|I convinced my parents to buy a dog.|to make someone believe or agree
deliver|thinking|~🚚|配達する|The store will deliver the sofa tomorrow.|to take things to a person or place
demand|thinking|~📣|要求する|The workers demanded higher pay.|to ask for something strongly
deny|thinking|~🙅|否定する|He did not deny that he broke the window.|to say that something is not true
determine|thinking|~🎯|決定する・特定する|The weather will determine our plans.|to decide or find out something
establish|thinking|~🏛️|設立する|The school was established in 1950.|to start a company or organization
estimate|thinking|~📐|見積もる|I estimate the trip will cost 50,000 yen.|to guess an amount or size
examine|thinking|~🔎|調べる・診察する|The doctor examined my throat.|to look at something carefully
expand|thinking|~↔️|拡大する|The company plans to expand into Asia.|to become bigger
explore|thinking|~🧭|探検する|We explored the old castle.|to travel around a place to learn about it
focus|thinking|~🎯|集中する|Focus on your studies.|to give all your attention to something
gain|thinking|~📈|得る・増す|He gained a lot of experience abroad.|to get something useful; or to increase
identify|thinking|~🔍🪪|特定する・見分ける|Can you identify this bird?|to recognize who or what someone or something is
ignore|thinking|~🙉|無視する|Don't ignore my message.|to pay no attention to someone or something
indicate|thinking|~👉|示す|The sign indicates the way to the exit.|to show or point to something
invest|thinking|~💹|投資する|He invested money in a new company.|to put money into something to make more money
involve|thinking|~🔗👥|伴う・巻き込む|The job involves a lot of travel.|to include something as a necessary part
maintain|thinking|~🔧|維持する|It is hard to maintain a healthy diet.|to keep something in good condition
measure|thinking|~📏|測る|Measure the length of the table.|to find the size or amount of something
occur|thinking|~💥|起こる|Accidents often occur at night.|to happen
participate|thinking|~🙋|参加する|Many students participated in the contest.|to take part in an activity
persuade|thinking|~🗣️👍|説得する|She persuaded me to join the club.|to make someone agree to do something
