# en|category|emoji|日本語|example sentence|simple English definition (optional)
# emoji starting with ~ is decoration only (never used as a picture answer)
# ---- C1 vocabulary (英検1級相当) ----
alleviate|thinking|~💊|和らげる|This medicine will alleviate the pain.|to make pain or a problem less severe
ameliorate|thinking|~📈|改善する|Steps were taken to ameliorate conditions in prisons.|to make a bad situation better
ascertain|thinking|~🔎|確かめる|We need to ascertain the facts first.|to find out for certain
augment|thinking|~➕|増大させる|He works part-time to augment his income.|to increase something by adding to it
circumvent|thinking|~↪️|回避する|They tried to circumvent the law.|to find a way around a rule or problem
coerce|thinking|~✊|強制する|He was coerced into signing the contract.|to force someone to do something
concede|thinking|~🤷|(しぶしぶ)認める|She conceded that she was wrong.|to admit that something is true, often unwillingly
condone|thinking|~🙈|容認する|We cannot condone violence.|to accept behavior that is morally wrong
corroborate|thinking|~🧾|裏付ける|The evidence corroborates his story.|to support a statement with evidence
curtail|thinking|~✂️|削減する|The government curtailed spending.|to reduce or limit something
deplete|thinking|~🪫|枯渇させる|Overfishing has depleted fish stocks.|to reduce the amount of something until little is left
deter|thinking|~🚫|思いとどまらせる|High fines deter people from speeding.|to discourage someone from doing something
disseminate|thinking|~📡|広める|The group disseminates information about health.|to spread information widely
elicit|thinking|~🎣|引き出す|The question elicited a strong response.|to get a reaction or information from someone
embody|thinking|~🗽|体現する|The statue is meant to embody freedom.|to express or represent an idea
endorse|thinking|~✍️|支持する・推薦する|The actor endorsed the new product.|to publicly support someone or something
exacerbate|thinking|~🔥|悪化させる|Stress can exacerbate health problems.|to make a bad situation worse
exploit|thinking|~⛏️|搾取する・活用する|The company exploited its workers.|to use unfairly for your own advantage; or to use fully
fluctuate|thinking|~〰️|変動する|Prices fluctuate from day to day.|to change often and irregularly
forfeit|thinking|~💸|失う・没収される|If you leave early, you forfeit your deposit.|to lose something as a punishment
galvanize|thinking|~⚡|奮い立たせる|The speech galvanized the crowd into action.|to make people suddenly take action
hamper|thinking|~❄️|妨げる|Heavy snow hampered the rescue.|to make it hard for something to happen
hinder|thinking|~🧱|妨げる|Lack of money hindered the project.|to delay or stop progress
incorporate|thinking|~🧩|組み込む|We will incorporate your ideas into the plan.|to include as part of something
infringe|thinking|~⛔|侵害する|The law must not infringe on personal freedom.|to break a law or limit someone's rights
instigate|thinking|~🧨|扇動する・始める|The police arrested the man who instigated the riot.|to cause something to start, often something bad
mitigate|thinking|~🌳|軽減する|Trees help mitigate the effects of heat.|to make something less harmful
navigate|thinking|~🧭|進路を決める・切り抜ける|She learned to navigate the complex system.|to find your way through something
nurture|thinking|~🌱|育む|Parents nurture their children's talents.|to care for and help something grow
perpetuate|thinking|~♾️|永続させる|Such stories perpetuate stereotypes.|to make something continue for a long time
precipitate|thinking|~⏩|引き起こす・早める|The crisis precipitated a change in policy.|to make something bad happen suddenly
reconcile|thinking|~🕊️|和解させる・両立させる|It is hard to reconcile work and family life.|to make two ideas or people agree
refute|thinking|~❌|論破する|She refuted his argument with clear evidence.|to prove that a statement is wrong
reiterate|thinking|~🔁|繰り返し述べる|Let me reiterate the main point.|to say something again
relinquish|thinking|~👋👑|放棄する|He relinquished control of the company.|to give up power or a right
scrutinize|thinking|~🔬|精査する|The committee will scrutinize the budget.|to examine very carefully
stipulate|thinking|~📄|規定する|The contract stipulates the payment date.|to state clearly as a rule or condition
substantiate|thinking|~📑|立証する|He could not substantiate his claims.|to show that something is true
supersede|thinking|~🆕|取って代わる|New technology will supersede the old system.|to replace something older
undermine|thinking|~⛏️|弱体化させる|Lies undermine trust.|to make something weaker gradually
vindicate|thinking|~⚖️|正当性を証明する|The new evidence vindicated him.|to prove that someone was right or innocent
adversity|society|~⛈️|逆境|She showed courage in the face of adversity.|a difficult or unlucky situation
aftermath|society|~🏚️|余波|Many people lost their homes in the aftermath of the earthquake.|the period after a bad event
affluence|society|~💰|裕福|The town's affluence is clear from its large houses.|wealth
allegation|society|~🗯️|(証拠のない)申し立て|He denied the allegation of fraud.|a claim that someone did something wrong, without proof
anomaly|society|~🦓|異常・例外|The scientist noticed an anomaly in the data.|something that is different from what is normal
autonomy|society|~🕊️|自治・自主性|The region wants more autonomy.|the right to govern or control yourself
bias|society|~⚖️|偏り・偏見|The article shows a clear political bias.|an unfair preference for one side
catastrophe|society|~🌊|大惨事|The flood was a catastrophe for the village.|a sudden event causing great damage
coalition|society|~🤝|連立|The two parties formed a coalition government.|a group formed by people or parties working together
complacency|society|~😌|自己満足・油断|Complacency is dangerous in business.|being too satisfied, so you stop trying
contingency|society|~☂️|不測の事態|We have a plan for every contingency.|an event that might happen in the future
